RUN;ITERATION;RMSD_vs_LF;RMSD_vs_LB
1;1;0.6086;4.3883
1;2;0.9904;4.0165
1;3;1.3298;3.6464
1;4;1.7146;3.2953
1;5;2.1200;2.9353
1;6;2.3559;2.6296
1;7;2.6699;2.3273
1;8;2.9050;2.0635
1;9;3.1518;1.8521
1;10;3.4915;1.5872
1;11;3.6738;1.3971
1;12;3.8946;1.2312
1;13;4.0460;1.1001
1;14;4.2695;0.9991
1;15;4.4638;0.8981
1;16;4.6703;0.8815
1;17;4.5991;0.8466
1;18;4.7205;0.8351
1;19;4.8025;0.8544
1;20;4.6440;0.8219
1;21;4.8133;0.8503
1;22;4.7468;0.8564
1;23;4.6038;0.8605
1;24;4.7522;0.8823
